OrganizationIdentifier.x,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.TimeZoneCode,MonitoringLocationIdentifier,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure
USGS-AZ,Water,Surface Water,4/27/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,5/18/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,6/7/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,7/26/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,8/16/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,10/25/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,11/8/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,12/13/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,1/25/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,2/14/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/8/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/22/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,4/4/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,4/19/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,5/2/2017,MST,USGS-09380000,Dissolved,1.09,ng/l,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,5/17/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,6/13/2017,MST,USGS-09380000,Dissolved,1.47,ng/l,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,7/19/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,8/16/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,10/10/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,10/30/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,12/5/2017,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,1/9/2018,MST,USGS-09380000,Dissolved,1.18,ng/l,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,2/6/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,2/21/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/6/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/26/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,4/10/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,4/24/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,5/22/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,6/5/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,7/24/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,8/27/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,10/2/2018,MST,USGS-09380000,Dissolved,1.03,ng/l,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,11/6/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,12/3/2018,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,1/27/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,2/9/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
